userid,orderType
100000000013,0
100000000111,0
100000000127,0
100000000231,0
100000000379,0
100000000393,0
100000000423,0
100000000459,0
100000000465,0
100000000471,0
100000000637,1
100000000695,1
100000000745,0
100000000755,0
100000000867,1
100000000949,0
100000000975,1
100000001023,1
100000001195,0
100000001231,0
100000001295,0
100000001343,0
100000001505,1
100000001557,0
100000001683,0
100000001711,0
100000001803,0
100000001955,0
100000001963,0
100000002111,0
100000002165,0
100000002179,0
100000002199,1
100000002215,1
100000002243,0
100000002245,0
100000002271,0
100000002307,0
100000002363,0
100000002371,0
100000002535,0
100000002581,0
100000002653,0
100000002811,0
100000002873,0
100000002879,0
100000003091,1
100000003097,0
100000003311,0
100000003461,1
100000003483,0
100000003559,0
100000003611,1
100000003639,0
100000003685,0
100000003805,0
100000003875,0
100000003891,0
100000003941,0
100000004163,0
100000004223,0
100000004277,0
100000004297,1
100000004303,0
100000004317,0
100000004319,0
100000004359,0
100000004429,0
100000004453,0
100000004529,0
100000004867,0
100000005007,1
100000005091,0
100000005125,0
100000005513,0
100000005649,1
100000005719,0
100000005739,1
100000005755,0
100000005805,0
100000005955,0
100000006005,0
100000006013,0
100000006081,0
100000006123,0
100000006395,0
100000006487,0
100000006539,1
100000006569,0
100000006605,1
100000006647,0
100000006857,0
100000006933,0
100000006981,0
100000007073,0
100000007079,0
100000007283,0
100000007329,0
100000007367,0
100000007409,0
100000007457,0
100000007533,0
100000007609,0
100000007639,0
100000007745,1
100000007753,0
100000007785,0
100000008119,1
100000008253,0
100000008425,1
100000008481,0
100000008483,0
100000008529,0
100000008565,0
100000008995,0
100000009017,1
100000009249,1
100000009417,0
100000009463,0
100000009481,1
100000009491,1
100000009583,0
100000009611,0
100000009743,0
100000009771,0
100000009773,1
100000009807,0
100000009925,1
100000010101,1
100000010161,0
100000010177,0
100000010199,1
100000010239,0
100000010247,0
100000010249,0
100000010279,0
100000010287,0
100000010293,0
100000010297,0
100000011105,0
100000011131,0
100000011325,0
100000011427,0
100000011573,0
100000011591,0
100000011653,0
100000011741,0
100000011755,0
100000011763,0
100000011845,1
100000011933,0
100000012027,0
100000012133,0
100000012137,0
100000012213,0
100000012219,0
100000012235,0
100000012277,0
100000012341,0
100000012367,0
100000012405,0
100000012441,0
100000012507,0
100000012713,0
100000012715,0
100000012717,0
100000012719,0
100000012793,0
100000012867,1
100000012885,0
100000012889,0
100000012931,0
100000012965,0
100000012981,0
100000013027,0
100000013381,0
100000013429,0
100000013461,0
100000013471,1
100000013499,1
100000013669,0
100000013673,0
100000013837,0
100000013965,0
100000014029,1
100000014143,0
100000014259,0
100000014271,1
100000014311,0
100000014315,0
100000014383,0
100000014421,0
100000014423,0
100000014449,0
100000014641,0
100000014679,0
100000014745,0
100000014865,0
100000014899,0
100000014949,1
100000014973,0
100000014981,0
100000015043,0
100000015129,1
100000015145,0
100000015153,0
100000015213,0
100000015223,0
100000015275,0
100000015433,0
100000015475,0
100000015747,0
100000015791,0
100000015969,1
100000016009,0
100000016197,1
100000016219,0
100000016265,1
100000016341,0
100000016351,0
100000016391,0
100000016831,0
100000016845,0
100000016861,0
100000016987,0
100000017177,0
100000017277,1
100000017281,0
100000017345,0
100000017367,0
100000017465,1
100000017469,0
100000017505,0
100000017691,0
100000017693,0
100000017965,0
100000018097,0
100000018117,0
100000018123,0
100000018259,0
100000018413,0
100000018417,0
100000018629,1
100000018905,1
100000018941,0
100000018979,0
100000019251,0
100000019375,0
100000019379,0
100000019487,1
100000019489,0
100000019507,0
100000019641,0
100000019697,0
100000019829,0
100000019999,0
100000020007,0
100000020017,0
100000020019,0
100000020061,0
100000020213,0
100000020277,0
100000020301,0
100000020393,0
100000020459,1
100000020665,0
100000020745,1
100000020809,0
100000020811,0
100000020907,0
100000020921,0
100000020931,0
100000020995,1
100000021111,0
100000021175,0
100000021395,0
100000021427,0
100000021453,0
100000021457,1
100000021553,1
100000021649,0
100000021659,0
100000021759,0
100000021783,0
100000021809,1
100000021873,0
100000022129,1
100000022335,1
100000022357,0
100000022389,1
100000022417,0
100000022481,0
100000022499,1
100000022571,0
100000022651,0
100000022677,0
100000022761,0
100000022773,0
100000022801,1
100000022841,0
100000022931,0
100000022963,1
100000023051,0
100000023443,0
100000023563,0
100000023659,1
100000023915,0
110020371225,0
110020471524,1
110020473123,0
110020671528,0
110020673328,0
110020771524,0
110020773124,0
110100014168,0
110100014369,0
110100014466,0
110100014563,1
110100016128,1
110100016324,1
110100016628,0
110100016726,1
110100016828,0
110100016928,1
110100018268,0
110100018468,0
110100018567,1
110100018764,0
110100033067,1
110100033863,0
110100035569,0
110100035669,0
110100071228,0
110100073229,0
110100073827,0
110100116024,0
110100116027,1
110100116423,1
110100116425,1
110100116429,0
110100116920,0
110100118262,1
110100118265,0
110100118669,0
110100133065,0
110100135162,1
110100135163,0
110100135560,0
110100135562,0
110100135764,0
110100135767,0
110100171021,0
110100171526,0
110100173725,0
110100214160,0
110100214261,0
110100214263,0
110100214268,0
110100214961,0
110100216329,0
110100218568,0
110100218569,0
110100218662,0
110100218869,0
110100218963,1
110100233064,1
110100233069,0
110100235564,0
110100273222,0
110100273229,1
110100273426,0
110100273825,0
110100316225,0
110100316421,0
110100316423,0
110100316824,1
110100316920,0
110100318867,0
110100333066,0
110100333868,0
110100335060,0
110100335161,0
110100335662,1
110100335665,0
110100335769,1
110100371225,0
110100373124,1
110100373323,1
110100373324,1
110100373526,0
110100412420,0
110100416123,0
110100416221,0
110100416425,0
110100418165,0
110100418369,0
110100433869,0
110100435160,1
110100435463,0
110100435467,0
110100435869,0
110100471025,0
110100471223,1
110100471225,0
110100473027,1
110100473524,0
110100473723,1
110100473728,1
110100512322,0
110100512326,0
110100512625,1
110100512728,0
110100514160,0
110100514164,0
110100514166,0
110100514169,0
110100516026,0
110100516222,0
110100516323,0
110100516524,0
110100516727,0
110100516923,1
110100516927,1
110100518068,0
110100518264,0
110100518265,0
110100518665,0
110100533768,0
110100535060,0
110100535669,0
110100535765,0
110100535968,0
110100571024,0
110100571025,1
110100573022,1
110100573428,0
110100573527,0
110100612321,0
110100612826,0
110100614162,0
110100614260,0
110100614366,1
110100614963,0
110100616528,0
110100618264,0
110100618563,0
110100618567,0
110100618863,0
110100618866,1
110100633765,0
110100633862,1
110100635169,1
