userid,orderid,orderTime,orderType,city,country,continent
100000000013,1000015,1481714516,0,柏林,德国,欧洲
100000000013,1000014,1501959643,0,旧金山,美国,北美洲
100000000393,1000033,1499440296,0,巴黎,法国,欧洲
100000000459,1000036,1480601668,0,纽约,美国,北美洲
100000000459,1000034,1479146723,0,巴厘岛,印度尼西亚,亚洲
100000000637,1000040,1486739692,0,巴塞罗那,西班牙,欧洲
100000000695,1000042,1498751734,0,东京,日本,亚洲
100000000949,1000050,1500852591,0,珀斯,澳大利亚,大洋洲
100000000949,1000051,1500079241,0,珀斯,澳大利亚,大洋洲
100000000949,1000047,1500493418,0,珀斯,澳大利亚,大洋洲
100000000975,1000052,1497262498,0,新加坡,新加坡,亚洲
100000001023,1000068,1490179888,0,东京,日本,亚洲
100000001023,1000066,1483474741,0,东京,日本,亚洲
100000001023,1000070,1483474741,1,东京,日本,亚洲
100000001023,1000071,1486489511,0,普吉岛,泰国,亚洲
100000001023,1000055,1483474741,0,东京,日本,亚洲
100000001023,1000054,1483474741,1,东京,日本,亚洲
100000001231,1000077,1483528734,0,伦敦,英国,欧洲
100000001295,1000079,1495914336,0,纽约,美国,北美洲
100000001505,1000091,1494677063,0,巴黎,法国,欧洲
100000001505,1000092,1494703585,1,巴黎,法国,欧洲
100000001505,1000094,1495114566,1,阿姆斯特丹,荷兰,欧洲
100000001505,1000095,1494700255,1,巴黎,法国,欧洲
100000001505,1000096,1494706992,1,布鲁塞尔,比利时,欧洲
100000001955,1000134,1497347012,0,新加坡,新加坡,亚洲
100000001955,1000135,1497346315,0,新加坡,新加坡,亚洲
100000001955,1000136,1497347740,0,新加坡,新加坡,亚洲
100000002371,1000163,1488819400,0,大阪,日本,亚洲
100000002371,1000164,1488884909,0,大阪,日本,亚洲
100000002371,1000165,1488883934,0,大阪,日本,亚洲
100000002371,1000166,1493331651,0,大阪,日本,亚洲
100000003097,1000194,1478521318,0,纽约,美国,北美洲
100000003461,1000196,1491130015,1,曼谷,泰国,亚洲
100000003639,1000202,1502097414,0,岘港,越南,亚洲
100000003639,1000203,1494239682,0,曼谷,泰国,亚洲
100000003805,1000225,1502416344,0,东京,日本,亚洲
100000004277,1000250,1491386413,0,曼谷,泰国,亚洲
100000004297,1000258,1478537520,0,布里斯班,澳大利亚,大洋洲
100000004317,1000269,1501162121,0,墨尔本,澳大利亚,大洋洲
100000005007,1000303,1487067644,0,曼谷,泰国,亚洲
100000005007,1000300,1480689904,1,首尔,韩国,亚洲
100000006981,1000354,1478926274,0,夏威夷欧胡岛（檀香山）,美国,北美洲
100000006981,1000357,1481972953,0,曼谷,泰国,亚洲
100000006981,1000359,1480075110,0,夏威夷欧胡岛（檀香山）,美国,北美洲
100000008119,1000418,1481822607,0,巴黎,法国,欧洲
100000008119,1000420,1483973020,1,巴黎,法国,欧洲
100000008425,1000433,1495130742,0,京都,日本,亚洲
100000008425,1000435,1478529504,0,悉尼,澳大利亚,大洋洲
100000008995,1000460,1497913304,0,台北,中国台湾,亚洲
100000009017,1000463,1504442455,0,北海道--札幌,日本,亚洲
100000009017,1000464,1504442680,1,北海道--札幌,日本,亚洲
100000009017,1000465,1499249295,1,长崎,日本,亚洲
100000009463,1000486,1491989391,0,台北,中国台湾,亚洲
100000009611,1000493,1496761458,0,香港,中国香港,亚洲
100000009611,1000495,1497199710,0,香港,中国香港,亚洲
100000009773,1000504,1488798287,1,西雅图,美国,北美洲
100000009925,1000507,1495481860,0,墨尔本,澳大利亚,大洋洲
100000009925,1000508,1495391425,0,墨尔本,澳大利亚,大洋洲
100000009925,1000509,1495391064,0,墨尔本,澳大利亚,大洋洲
100000009925,1000510,1495392096,0,墨尔本,澳大利亚,大洋洲
100000009925,1000511,1495481054,1,墨尔本,澳大利亚,大洋洲
100000009925,1000512,1495476113,1,墨尔本,澳大利亚,大洋洲
100000010161,1000582,1499731484,0,济州岛,韩国,亚洲
100000010161,1000584,1487357337,0,大阪,日本,亚洲
100000010161,1000585,1480954469,0,首尔,韩国,亚洲
100000010199,1000595,1497866998,1,济州岛,韩国,亚洲
100000010199,1000591,1480515669,1,巴厘岛,印度尼西亚,亚洲
100000010199,1000594,1480456521,1,首尔,韩国,亚洲
100000010199,1000586,1499438899,1,济州岛,韩国,亚洲
100000010199,1000590,1480456198,1,首尔,韩国,亚洲
100000010199,1000589,1497865681,1,济州岛,韩国,亚洲
100000010199,1000588,1491836666,1,巴厘岛,印度尼西亚,亚洲
100000010199,1000587,1480515124,1,济州岛,韩国,亚洲
100000011325,1000612,1491734533,0,温哥华,加拿大,北美洲
100000011325,1000611,1491744123,0,纽约,美国,北美洲
100000011325,1000613,1491747912,0,多伦多,加拿大,北美洲
100000011325,1000610,1491736183,0,拉斯维加斯,美国,北美洲
100000011325,1000607,1491743812,0,多伦多,加拿大,北美洲
100000011325,1000609,1491736962,0,拉斯维加斯,美国,北美洲
100000011325,1000608,1491735296,0,温哥华,加拿大,北美洲
100000011763,1000626,1494594620,0,吉隆坡,马来西亚,亚洲
100000011933,1000638,1492509827,0,新加坡,新加坡,亚洲
100000012213,1000645,1491734756,0,吉隆坡,马来西亚,亚洲
100000012213,1000647,1491744544,0,吉隆坡,马来西亚,亚洲
100000012715,1000674,1478935580,0,旧金山,美国,北美洲
100000012889,1000686,1500021938,0,奥克兰,新西兰,大洋洲
100000012931,1000688,1494720263,0,高雄,中国台湾,亚洲
100000012965,1000692,1502858755,0,巴黎,法国,欧洲
100000013381,1000718,1491512424,0,大阪,日本,亚洲
100000013471,1000724,1494715492,0,新加坡,新加坡,亚洲
100000013471,1000726,1494367995,0,新加坡,新加坡,亚洲
100000013499,1000728,1491585982,0,巴黎,法国,欧洲
100000013673,1000738,1494857647,0,东京,日本,亚洲
100000013837,1000740,1502744540,0,新加坡,新加坡,亚洲
100000013837,1000742,1502744151,0,新加坡,新加坡,亚洲
100000014029,1000750,1487598306,1,伦敦,英国,欧洲
100000014259,1000768,1492631994,0,凯恩斯,澳大利亚,大洋洲
100000014259,1000760,1492631863,0,墨尔本,澳大利亚,大洋洲
100000014271,1000769,1494628747,0,新加坡,新加坡,亚洲
100000014383,1000792,1485084332,0,奥克兰,新西兰,大洋洲
100000014383,1000787,1483991513,0,奥克兰,新西兰,大洋洲
100000014421,1000800,1502622551,0,东京,日本,亚洲
100000014421,1000801,1485083433,0,米兰,意大利,欧洲
100000014421,1000802,1502622156,0,东京,日本,亚洲
100000014679,1000810,1489501537,0,东京,日本,亚洲
100000014679,1000811,1489501235,0,东京,日本,亚洲
100000014679,1000813,1489499825,0,东京,日本,亚洲
100000014973,1000829,1491732115,0,洛杉矶,美国,北美洲
100000014981,1000831,1495104609,0,新加坡,新加坡,亚洲
100000014981,1000832,1495105284,0,曼谷,泰国,亚洲
100000014981,1000833,1495915895,0,新加坡,新加坡,亚洲
100000015223,1000856,1491127214,0,甲米,泰国,亚洲
100000015475,1000863,1480286780,0,罗马,意大利,欧洲
100000015969,1000895,1492458053,0,巴尔的摩,美国,北美洲
100000015969,1000893,1492041650,0,华盛顿,美国,北美洲
100000015969,1000894,1492757338,0,纽约,美国,北美洲
100000015969,1000892,1492641139,1,华盛顿,美国,北美洲
100000016265,1000906,1498087162,0,大阪,日本,亚洲
100000016265,1000905,1498521143,1,大阪,日本,亚洲
100000016265,1000904,1482755448,1,新加坡,新加坡,亚洲
100000016265,1000907,1498130852,1,大阪,日本,亚洲
100000016265,1000902,1498161846,1,大阪,日本,亚洲
100000016341,1000928,1478944199,0,北海道--札幌,日本,亚洲
100000016341,1000923,1500402899,0,东京,日本,亚洲
100000016341,1000926,1478610165,0,大阪,日本,亚洲
100000016341,1000917,1478976007,0,北海道--札幌,日本,亚洲
100000016831,1000969,1495330365,0,巴塞罗那,西班牙,欧洲
100000016831,1000971,1494535217,0,巴塞罗那,西班牙,欧洲
100000016831,1000968,1494535516,0,巴塞罗那,西班牙,欧洲
100000016861,1000979,1498879807,0,雅加达,印度尼西亚,亚洲
100000016861,1000980,1494237772,0,巴厘岛,印度尼西亚,亚洲
100000016861,1000982,1499464239,0,普吉岛,泰国,亚洲
100000017177,1000987,1493392416,0,爱丁堡,英国,欧洲
100000017277,1001002,1499099010,0,新加坡,新加坡,亚洲
100000017277,1001005,1502439815,0,东京,日本,亚洲
100000017277,1001004,1490955683,0,华盛顿,美国,北美洲
100000017277,1001001,1486644726,0,巴黎,法国,欧洲
100000017277,1001000,1491613267,1,波士顿,美国,北美洲
100000017277,1001003,1502578746,1,东京,日本,亚洲
100000017277,1000999,1486644862,1,巴黎,法国,欧洲
100000017277,1000997,1491165105,1,华盛顿,美国,北美洲
100000017277,1000996,1491363752,1,纽约,美国,北美洲
100000017277,1000994,1479137141,0,济州岛,韩国,亚洲
100000017281,1001007,1494194711,0,香港,中国香港,亚洲
100000017465,1001018,1503849397,1,京都,日本,亚洲
100000018097,1001047,1488196628,0,曼谷,泰国,亚洲
100000018123,1001052,1480083727,0,清迈,泰国,亚洲
100000018259,1001062,1482304520,0,波士顿,美国,北美洲
100000018979,1001093,1499386409,0,新加坡,新加坡,亚洲
100000019251,1001101,1487399060,0,纽约,美国,北美洲
100000019487,1001120,1490691615,0,台北,中国台湾,亚洲
100000019487,1001119,1490668837,0,台北,中国台湾,亚洲
100000019487,1001117,1490676391,1,花莲,中国台湾,亚洲
100000019487,1001116,1490676871,1,嘉义,中国台湾,亚洲
100000019487,1001115,1490676741,1,垦丁,中国台湾,亚洲
100000019487,1001122,1490676970,1,台中,中国台湾,亚洲
100000019487,1001114,1490678743,1,台中,中国台湾,亚洲
100000019487,1001113,1490669077,1,台北,中国台湾,亚洲
100000019487,1001111,1490712000,1,花莲,中国台湾,亚洲
100000019487,1001109,1490672898,1,花莲,中国台湾,亚洲
100000019487,1001108,1490674720,1,垦丁,中国台湾,亚洲
100000019487,1001107,1490692047,0,台北,中国台湾,亚洲
100000019489,1001124,1483028595,0,东京,日本,亚洲
100000019507,1001129,1491213614,0,曼谷,泰国,亚洲
100000019507,1001126,1489053989,0,普吉岛,泰国,亚洲
100000020061,1001177,1497086038,0,吉隆坡,马来西亚,亚洲
100000020061,1001178,1497098083,0,吉隆坡,马来西亚,亚洲
100000020277,1001181,1490994592,0,伦敦,英国,欧洲
100000020301,1001183,1493038891,0,墨尔本,澳大利亚,大洋洲
100000020301,1001184,1494419049,0,悉尼,澳大利亚,大洋洲
100000020301,1001185,1493039082,0,墨尔本,澳大利亚,大洋洲
100000020459,1001196,1495205520,0,大阪,日本,亚洲
100000020811,1001214,1490954418,0,曼谷,泰国,亚洲
100000020811,1001215,1494261824,0,吉隆坡,马来西亚,亚洲
100000021111,1001228,1499416279,0,凯恩斯,澳大利亚,大洋洲
100000021111,1001229,1498742242,0,墨尔本,澳大利亚,大洋洲
100000021111,1001230,1498742785,0,墨尔本,澳大利亚,大洋洲
100000021395,1001234,1491410028,0,芽庄,越南,亚洲
100000021427,1001237,1492100063,0,罗马,意大利,欧洲
100000021553,1001243,1493309060,1,东京,日本,亚洲
100000021759,1001250,1489730630,0,奥兰多,美国,北美洲
100000022129,1001259,1482862933,1,东京,日本,亚洲
100000022129,1001260,1482863271,1,大阪,日本,亚洲
100000022335,1001267,1497104750,1,大阪,日本,亚洲
100000022335,1001265,1497103161,0,东京,日本,亚洲
100000022417,1001270,1498336698,0,巴黎,法国,欧洲
100000022481,1001272,1480800718,0,旧金山,美国,北美洲
100000022499,1001275,1501194336,1,布鲁塞尔,比利时,欧洲
100000022571,1001279,1499523614,0,东京,日本,亚洲
100000022571,1001280,1497671106,0,东京,日本,亚洲
100000022571,1001278,1497672003,0,东京,日本,亚洲
100000022677,1001288,1494686552,0,高雄,中国台湾,亚洲
100000022761,1001289,1490819835,0,大阪,日本,亚洲
100000022801,1001295,1486074572,0,巴黎,法国,欧洲
100000022801,1001297,1486073522,0,巴黎,法国,欧洲
100000022801,1001296,1486165985,1,罗马,意大利,欧洲
100000022801,1001298,1486166548,1,罗马,意大利,欧洲
100000022801,1001294,1486162916,1,苏黎世,瑞士,欧洲
100000022801,1001293,1486165540,1,罗马,意大利,欧洲
100000023051,1001306,1497311764,0,波士顿,美国,北美洲
110020473123,1001340,1478864617,0,京都,日本,亚洲
110020473123,1001342,1503574683,0,墨尔本,澳大利亚,大洋洲
110020673328,1001356,1492509805,0,伦敦,英国,欧洲
