userid,orderid,rating,tags,commentsKeyWords
100000000013,1000015,4.0,,"['很','简陋','太','随便']"
100000000231,1000024,5.0,提前联系|耐心等候,"['很','细心']"
100000000471,1000038,5.0,,
100000000637,1000040,5.0,主动热情|提前联系|举牌迎接|主动搬运行李,
100000000755,1000045,1.0,未举牌服务,
100000000949,1000050,5.0,,
100000001023,1000065,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['真心','好','惊喜','惊喜','合理','还','真心','赞']"
100000001231,1000075,5.0,,
100000001505,1000094,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['非常','满意','认真','负责','诚恳','合理','很','精致','希望']"
100000001557,1000100,4.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,
100000001711,1000113,5.0,,
100000001955,1000135,5.0,主动热情|提前联系|耐心等候,
100000002165,1000142,5.0,,
100000002199,1000144,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['very','good']"
100000002243,1000156,5.0,,
100000002245,1000157,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|举牌迎接|主动搬运行李|耐心等候,"['很','负责','辛苦','还']"
100000002371,1000164,5.0,主动热情|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['非常','好','还','好','还','很','热情','美丽','肯定']"
100000003639,1000202,5.0,主动热情|提前联系,"['非常','满意']"
100000003685,1000220,4.0,主动热情|主动搬运行李|耐心等候,
100000003891,1000227,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
100000004297,1000262,4.33,,"['很','凶','喜欢','喜欢','凶巴巴']"
100000004317,1000269,5.0,主动热情|提前联系|耐心等候,
100000004867,1000298,5.0,主动热情|提前联系|耐心等候,
100000005007,1000299,5.0,提前联系|耐心等候,"['很','好','稳重']"
100000005125,1000306,5.0,主动热情,
100000006857,1000352,5.0,主动热情|耐心等候|主动搬运行李,
