userid,gender,province,age
100000000013,男,,60后
100000000111,,上海,
100000000127,,上海,
100000000231,男,北京,70后
100000000379,男,北京,
100000000393,女,北京,
100000000423,,河南,
100000000459,,北京,
100000000465,,北京,
100000000471,女,广东,
100000000637,,辽宁,
100000000695,,北京,
100000000745,,陕西,
100000000755,男,广东,
100000000867,女,上海,
100000000949,女,广东,
100000000975,,上海,
100000001023,男,北京,60后
100000001195,女,北京,
100000001231,,广东,80后
100000001295,男,北京,
100000001343,,上海,
100000001505,女,广东,
100000001557,,上海,
100000001683,,上海,
100000001711,女,北京,
100000001803,,浙江,
100000001955,,上海,
100000001963,,上海,
100000002111,,上海,
100000002165,,浙江,
100000002179,,北京,
100000002199,男,上海,
100000002215,,四川,
100000002243,,云南,
100000002245,,上海,
100000002271,,上海,
100000002307,,辽宁,
100000002363,,北京,
100000002371,,北京,
100000002535,女,北京,60后
100000002581,女,黑龙江,
100000002653,,安徽,
100000002811,,四川,
100000002873,,北京,
100000002879,男,广东,
100000003091,男,北京,
100000003097,男,北京,
100000003311,,上海,80后
100000003461,,广东,
100000003483,女,北京,
100000003559,女,北京,
100000003611,,江苏,
100000003639,,广东,
100000003685,女,北京,60后
100000003805,,北京,
100000003875,女,北京,
100000003891,,上海,
100000003941,男,浙江,
100000004163,女,浙江,
100000004223,,安徽,
100000004277,女,江苏,80后
100000004297,,重庆,
100000004303,男,,
100000004317,,北京,
100000004319,,上海,
100000004359,,上海,
100000004429,,天津,
100000004453,,江苏,
100000004529,,福建,
100000004867,,陕西,
100000005007,,广东,60后
100000005091,,江苏,
100000005125,,江苏,
100000005513,,上海,
100000005649,,上海,
100000005719,,北京,
100000005739,,广东,
100000005755,,江苏,
100000005805,男,,60后
100000005955,,江苏,
100000006005,女,上海,
100000006013,男,江苏,
100000006081,女,四川,
100000006123,,江苏,
100000006395,男,上海,
100000006487,,四川,
100000006539,,广东,
100000006569,,上海,
100000006605,女,四川,
100000006647,,上海,
100000006857,男,上海,
100000006933,,天津,
100000006981,,浙江,
100000007073,,北京,
100000007079,,北京,
100000007283,女,上海,
100000007329,,上海,
100000007367,,,
100000007409,,广东,80后
100000007457,,江苏,
100000007533,,上海,
100000007609,女,北京,
100000007639,,浙江,
100000007745,女,上海,80后
100000007753,女,上海,
100000007785,男,北京,
100000008119,女,上海,
100000008253,,上海,
100000008425,女,上海,
100000008481,女,上海,
100000008483,,北京,
100000008529,,四川,
100000008565,,上海,
100000008995,,广东,
100000009017,,上海,
100000009249,女,上海,
100000009417,,河南,
100000009463,男,上海,80后
