userid,orderType
100000000371,0.5
100000001215,0.5
100000001445,0.5
100000001575,0.5
100000001601,0.5
100000001737,0.5
100000001829,0.5
100000002055,0.5
100000002241,0.5
100000003067,0.5
100000004161,0.5
100000004307,0.5
100000004855,0.5
100000005055,0.5
100000005701,0.5
100000006247,0.5
100000006327,0.5
100000006333,0.5
100000006397,0.5
100000007397,0.5
100000007525,0.5
100000007951,0.5
100000007955,0.5
100000008131,0.5
100000008427,0.5
100000008745,0.5
100000009049,0.5
100000009197,0.5
100000009419,0.5
100000009629,0.5
100000009961,0.5
100000010157,0.5
100000011403,0.5
100000012993,0.5
100000013089,0.5
100000013205,0.5
100000013455,0.5
100000013591,0.5
100000013861,0.5
100000014191,0.5
100000014963,0.5
100000015053,0.5
100000015077,0.5
100000015351,0.5
100000015659,0.5
100000016411,0.5
100000016637,0.5
100000016665,0.5
100000016715,0.5
100000016843,0.5
100000017191,0.5
100000017255,0.5
100000017517,0.5
100000017533,0.5
100000018131,0.5
100000018141,0.5
100000018219,0.5
100000018439,0.5
100000018651,0.5
100000018843,0.5
100000019085,0.5
100000019503,0.5
100000019777,0.5
100000019831,0.5
100000019875,0.5
100000020599,0.5
100000020705,0.5
100000020839,0.5
100000021007,0.5
100000021741,0.5
100000023031,0.5
100000023341,0.5
100000023847,0.5
110020671228,0.5
110100014968,0.5
110100016420,0.5
110100016422,0.5
110100018261,0.5
110100035666,0.5
110100073025,0.5
110100073927,0.5
110100116029,0.5
110100133766,0.5
110100171523,0.5
110100173226,0.5
110100218469,0.5
110100235669,0.5
110100316927,0.5
110100335267,0.5
110100371520,0.5
110100373224,0.5
110100412425,0.5
110100418260,0.5
110100418567,0.5
110100471522,0.5
110100471527,0.5
110100473324,0.5
110100512827,0.5
110100514267,0.5
110100516521,0.5
110100516723,0.5
110100516929,0.5
110100535662,0.5
110100573222,0.5
110100573627,0.5
110100614362,0.5
110100614562,0.5
110100618862,0.5
110100635761,0.5
110100673622,0.5
110100673828,0.5
110100735369,0.5
110100816922,0.5
110100818367,0.5
110100835466,0.5
110100835868,0.5
110100871522,0.5
110100873722,0.5
110100933760,0.5
110100973525,0.5
110101018063,0.5
110101018362,0.5
110101035263,0.5
110101071220,0.5
110101071222,0.5
110101071527,0.5
110101073025,0.5
110101073225,0.5
110101073822,0.5
110101112320,0.5
110101114064,0.5
110101114660,0.5
110101118361,0.5
110101135467,0.5
110101173725,0.5
110101210069,0.5
110101212223,0.5
110101215122,0.5
110101216420,0.5
110101216527,0.5
110101216821,0.5
110101217027,0.5
110101217820,0.5
110101217824,0.5
110101218861,0.5
110101233064,0.5
110101273629,0.5
110101273724,0.5
110101273826,0.5
110101273925,0.5
110101312122,0.5
110101314164,0.5
110101316227,0.5
110101316624,0.5
110101335164,0.5
110101335961,0.5
110101373120,0.5
110101373626,0.5
110101410927,0.5
110101416523,0.5
110101416629,0.5
110101418269,0.5
110101418763,0.5
110101433762,0.5
110101435165,0.5
110101435360,0.5
110101435465,0.5
110101471226,0.5
110101473623,0.5
110101512925,0.5
110101516227,0.5
110101516323,0.5
110101518360,0.5
110101518560,0.5
110101535968,0.5
110101610427,0.5
110101610625,0.5
110101610760,0.5
110101610768,0.5
110101612027,0.5
110101612064,0.5
110101615728,0.5
110101615828,0.5
110101615925,0.5
110101616227,0.5
110101616427,0.5
110101616628,0.5
110101616762,0.5
110101616863,0.5
110101616867,0.5
110101616966,0.5
110101617522,0.5
110101618860,0.5
110101618964,0.5
110101618967,0.5
110101673221,0.5
110101673423,0.5
110101712427,0.5
110101712621,0.5
110101712622,0.5
110101714266,0.5
110101714568,0.5
110101716420,0.5
110101718064,0.5
110101718461,0.5
110101735567,0.5
110101771028,0.5
110101773127,0.5
110101773722,0.5
110101773820,0.5
110101810162,0.5
110101810364,0.5
110101810367,0.5
110101814963,0.5
110101816628,0.5
110101816826,0.5
110101816829,0.5
110101818963,0.5
110101833764,0.5
110101871022,0.5
110101871223,0.5
110101873420,0.5
110101912122,0.5
110101912224,0.5
110101914166,0.5
110101914465,0.5
110101914466,0.5
110101916529,0.5
110101916922,0.5
110101935966,0.5
110101973722,0.5
110102012425,0.5
110102012824,0.5
110102012825,0.5
110102016124,0.5
110102016220,0.5
110102033767,0.5
110102035860,0.5
110102073126,0.5
110102073923,0.5
110102112525,0.5
110102116023,0.5
110102116124,0.5
110102116228,0.5
110102116324,0.5
110102118961,0.5
110102118969,0.5
110102173725,0.5
110102218067,0.5
110102233767,0.5
110102235866,0.5
110102271522,0.5
110102371027,0.5
110102416529,0.5
110102416629,0.5
110102418265,0.5
110102435363,0.5
110102435468,0.5
110102473227,0.5
110102473722,0.5
110102473726,0.5
110102473823,0.5
110102516823,0.5
110102518364,0.5
110102571020,0.5
110102614469,0.5
110102616024,0.5
110102616427,0.5
110102616924,0.5
110102618366,0.5
110102618561,0.5
110102618764,0.5
110102673627,0.5
110102712120,0.5
110102712123,0.5
110102714366,0.5
