iter	AUC	Logloss
0	0.8608282587	0.6389869847
1	0.9057337639	0.585728493
2	0.9154294298	0.5390803637
3	0.9196752973	0.4997098382
4	0.9209465816	0.4683787711
5	0.9254411081	0.436951627
6	0.928888851	0.4093116921
7	0.9290277926	0.3908413128
8	0.9297949595	0.3722126047
9	0.9320169246	0.3532281711
10	0.9337985242	0.3378268291
11	0.9347973079	0.3239476925
12	0.9354687599	0.3117056813
13	0.9372838264	0.300562945
14	0.9372107184	0.2923415962
15	0.9389165504	0.2836676829
16	0.9402091433	0.2751541197117	0.9414456783	0.268886264
18	0.9420502044	0.26219629
19	0.9428734055	0.2563174628
20	0.9437810495	0.2511444242121	0.9446663638	0.2460851962222	0.9453764438	0.2421587722323	0.9459676322	0.2380797222424	0.9472261091	0.2333811032525	0.947725311	0.2302654105226	0.9479056904	0.2273946717227	0.9483327896	0.2246531968228	0.9488855718	0.2216971452229	0.9492777159	0.2193749045330	0.950139711	0.2174351038
31	0.9505601611	0.2155152089
32	0.9510002338	0.2138979554
33	0.9514723882	0.2114472229
34	0.951823601	0.2097700455
35	0.9527576434	0.2073368173
36	0.953526338	0.2057063341
37	0.9543564493	0.2037231551
38	0.954959891	0.2018913776
39	0.9552246502	0.2004544224
40	0.9556683799	0.1988132087
41	0.9561981595	0.1974756814
42	0.9564216391	0.1966465829
43	0.9565456203	0.1955628515
44	0.9572657926	0.1941913881
45	0.9575370425	0.1933279181
46	0.9578497541	0.1923031514
47	0.9581082442	0.1910593058
48	0.9586106123	0.1896714455
49	0.9590681942	0.1884917685
50	0.9592824047	0.1875996398
51	0.9595313328	0.1865663947552	0.9599241656	0.1855716895353	0.9602004656	0.184674637554	0.960558185	0.1837965715
55	0.9609702288	0.1828017787
56	0.9612167031	0.1820354935
57	0.9613633465	0.1812666439
58	0.9617731977	0.1804373961
59	0.9619976113	0.1798054086
60	0.9622040171	0.1793283481
