iter	Passed	Remaining
0	547	546881
1	1070	534264
2	1591	529005
3	2132	530968
4	2657	528940
5	3191	528671
6	3704	525479
7	4255	527715
8	4782	526577
9	5300	524726
10	5858	526704
11	6364	523991
12	6893	523340
13	7412	522037
14	7898	518690
15	8410	517270
16	8934	516645
17	9487	517590
18	10009	516811
19	10535	516227
20	11098	517413
21	11614	516333
22	12179	517375
23	12758	518842
24	13332	519949
25	13856	519083
26	14367	517769
27	14896	517107
28	15420	516317
29	15969	516347
30	16497	515690
31	17014	514679
32	17608	515967
33	18161	515987
34	18719	516110
35	19273	516105
36	19807	515540
37	20352	515243
38	20842	513573
39	21366	512793
40	21907	512430
41	22420	511407
42	22916	510027
43	23482	510215
44	23998	509297
45	24520	508544
46	25107	509097
47	25648	508696
48	26220	508893
49	26705	507411
50	27221	506539
51	27751	505927
52	28302	505699
53	28841	505263
54	29354	504366
55	29901	504047
56	30428	503407
57	30964	502905
58	31520	502719
59	32017	501601
60	32519	500581
61	33046	499955
62	33570	499287
63	34109	498846
64	34638	498255
65	35156	497518
66	35703	497182
67	36221	496449
68	36750	495863
69	37254	494951
70	37726	493639
71	38254	493058
72	38762	492236
73	39313	491951
74	39853	491525
75	40337	490417
76	40842	489574
77	41365	488957
78	41877	488212
79	42424	487876
80	42954	487349
81	43471	486673
82	44024	486389
83	44554	485860
84	45109	485591
85	45587	484504
86	46109	483881
87	46651	483477
88	47144	482569
89	47680	482104
90	48245	481927
91	48809	481731
92	49344	481238
93	49879	480754
94	50398	480107
95	50907	479380
96	51461	479073
97	52000	478620
98	52472	477551
99	53006	477062
100	53557	476711
101	54064	475982
102	54588	475394
103	55093	474655
104	55613	474038
105	56132	473420
106	56639	472699
107	57182	472286
108	57729	471901
109	58290	471623
110	58829	471168
111	59375	470760
112	59940	470508
113	60489	470117
114	61024	469622
115	61560	469133
116	62082	468535
117	62621	468067
118	63150	467529
119	63683	467015
120	64247	466721
121	64764	466092
122	65324	465769
123	65842	465143
124	66328	464297
125	66826	463539
126	67342	462913
127	67884	462464
128	68407	461884
129	68942	461385
130	69483	460921
131	69992	460252
132	70506	459620
133	70996	458827
134	71479	457997
135	72028	457595
136	72546	456988
137	73010	456050
138	73533	455486
139	74054	454906
140	74538	454101
141	75068	453585
142	75587	452995
143	76108	452423
144	76641	451920
145	77124	451128
146	77589	450228
147	78131	449782
148	78641	449151
149	79176	448667
150	79694	448085
151	80182	447335
152	80692	446708
153	81168	445898
154	81683	445304
155	82212	444792
156	82736	444247
157	83264	443727
158	83755	443006
159	84283	442490
160	84813	441980
161	85340	441453
162	85856	440868
163	86386	440362
164	86902	439781
165	87450	439362
166	87958	438739
167	88460	438089
168	88982	437539
169	89483	436889
170	90043	436528
171	90546	435885
172	91068	435340
173	91594	434810
174	92091	434145
175	92593	433505
176	93160	433171
177	93677	432598
178	94237	432227
179	94755	431662
180	95277	431115
181	95854	430818
182	96346	430136
183	96870	429599
184	97405	429112
185	97928	428567
186	98462	428074
187	98962	427435
188	99504	426974
189	100020	426402
