iter	AUC	Logloss
0	0.8791008339	0.6327101456
1	0.8984010229	0.5834608978
2	0.9148538194	0.5378150742
3	0.9217483095	0.4978004132
4	0.9213024491	0.466211171
5	0.9239765221	0.4363807009
6	0.9259027105	0.409751403
7	0.9276925209	0.3869217112
8	0.9300784918	0.3670055822
9	0.9317951805	0.350744712
10	0.9313643914	0.3379517316
11	0.9308657499	0.3246690666
12	0.932735918	0.3129428764
13	0.9339238545	0.3013967337
14	0.9360413237	0.2910717261
15	0.9369150936	0.281688512
16	0.9383729838	0.2753524963
17	0.9391462035	0.2695937554
18	0.939595243	0.2633944636
19	0.9406278884	0.2585790408
20	0.9422645049	0.2525486362
21	0.942697867	0.2487734853
22	0.9432227704	0.2450891598
23	0.9440824241	0.2411556639
24	0.9446298463	0.2376564993
25	0.945256886	0.2340769208
26	0.9455973004	0.2305474598
27	0.9456005113	0.2274973205
28	0.9459855368	0.2251943896
29	0.9464148209	0.2224456138
30	0.9474203796	0.2197395557
31	0.9484161399	0.2170754382
32	0.9493244263	0.2144883981
33	0.9499907796	0.2123555888
34	0.9503667997	0.2109618877
35	0.951396488	0.2086786785
36	0.9517900289	0.2069799876
37	0.9524280584	0.2051434152
38	0.9531596593	0.2035917341
39	0.9534308045	0.2021200173
40	0.9538160132	0.200855155
41	0.9543142846	0.1993689073
42	0.9543435143	0.1984634803
43	0.9547270806	0.1969419506
44	0.9551648872	0.1957987323
45	0.955386878	0.1947678629
46	0.9556368085	0.1937487679
47	0.955839058	0.1928814136
48	0.9561039681	0.1917790703
49	0.9565059858	0.1907849997
50	0.9571037007	0.1896351455
51	0.9575105153	0.1883974363
52	0.9578361898	0.1872623107
53	0.9581694493	0.1863475373
54	0.9585875921	0.1855583174
55	0.9588981177	0.1846301365
56	0.9591337031	0.1839545094
57	0.9593765632	0.1833361098
58	0.9596590964	0.1826153814
59	0.9598551108	0.181876359
60	0.9602576818	0.1810902269
61	0.9604921428	0.180426307
62	0.9607000422	0.1798377438
63	0.9609123439	0.1793038489
64	0.9612567341	0.1786737734
65	0.9615207278	0.1778986549
66	0.9619631658	0.1769474295
67	0.9622818756	0.1762923781
68	0.9627083189	0.1756283598
69	0.9628998888	0.1751274386
70	0.963136313	0.1745795274
71	0.9633988757	0.1740240674
72	0.9636731119	0.1733656641
73	0.9639351953	0.1726452138
74	0.9641940642	0.1719772138
75	0.964257042	0.1714709235
76	0.9644430501	0.170862387
77	0.9645390324	0.1704652674
78	0.9647231971	0.169955278
79	0.9649385229	0.1694233181
80	0.9650532175	0.1689265305
81	0.9652439485	0.1683913196
82	0.9653991585	0.1680005233
83	0.9656038682	0.1675426759
84	0.9657379939	0.1672622356
85	0.9658620815	0.1668299431
86	0.9659111195	0.1665241569
87	0.9660440962	0.1661553073
88	0.9661601336	0.1658995095
89	0.9664170851	0.1653874851
90	0.9665181006	0.1650548191
91	0.9667979163	0.1645228662
92	0.9669366099	0.1641954722
93	0.9670582656	0.1638676042
94	0.9673352087	0.1632957978
95	0.9674564837	0.1629405388
96	0.9676807726	0.1624333634
97	0.9678367615	0.1621180256
98	0.9678981709	0.1618924358
99	0.9680339602	0.1615413742
100	0.9681757273	0.1610950168
101	0.96829131	0.1608634383
102	0.9683829219	0.160606331
103	0.968517541	0.1602743378
104	0.9686762686	0.1598812937
105	0.9687923624	0.1595262705
106	0.9689083575	0.1592339503
107	0.9690628625	0.1588931738
108	0.9691970341	0.1585850366
109	0.9692859531	0.1583117121
110	0.9694412688	0.157914455
111	0.9696250317	0.1574258253
112	0.9697660938	0.1570020511
113	0.9699734258	0.1564788422
114	0.9701116189	0.1561253803
115	0.9702086516	0.1558136236
116	0.9703108091	0.1555355396
117	0.9704852388	0.1550992449
118	0.9705466094	0.1548854664
119	0.9705924646	0.154758946
120	0.9706977519	0.1544766858
121	0.9707432688	0.1542731271
122	0.9708855153	0.1539355789
123	0.9709763094	0.1536974485
124	0.9710293971	0.1535248228
125	0.9710496214	0.1534238166
126	0.9711656658	0.1531661728
127	0.9712128569	0.1530332284
128	0.9713169035	0.1527495039
129	0.9715012903	0.1523649007
130	0.9715439734	0.1522196299
131	0.9716069301	0.1519952545
132	0.9717343943	0.1516284955
133	0.9718514468	0.1513491262
134	0.9719460333	0.1511736512
135	0.972021305	0.1509263729
136	0.9721541055	0.1506135019
137	0.9721970635	0.1504733047
138	0.9722886542	0.1501778703
139	0.9724022737	0.1498911338
140	0.9724822895	0.1497145392
141	0.9725483549	0.149530605
142	0.9726558627	0.1492486673
143	0.9727800208	0.1489531589
144	0.9729217386	0.1485774152
145	0.9730044437	0.1483410944
146	0.9731113523	0.148047394
147	0.9732403145	0.1477492689
148	0.9733054776	0.1476124628
149	0.9733960955	0.1474102813
150	0.9734828926	0.147172255
151	0.9735488453	0.1469872063
152	0.9736218048	0.1468013164
153	0.9736736237	0.146647057
154	0.9737288121	0.1464749016
155	0.9738644746	0.1462224208
156	0.9739681688	0.1459342463
157	0.9740718136	0.1457040269
158	0.9741662804	0.1454389904
159	0.9742596122	0.1452218456
160	0.9743110927	0.1450253924
161	0.9743584812	0.1448816588
162	0.974407216	0.1446740744
163	0.9744861533	0.1444510033
164	0.9745925967	0.1442170081
165	0.9746815651	0.1440345356
166	0.9747423083	0.1438055593
167	0.974835767	0.1435595495
168	0.9749232057	0.1433548992
169	0.9750054702	0.143182826
170	0.9750589739	0.1430133587
171	0.9751405793	0.1428098827
172	0.9751876893	0.1426370449
173	0.9752453097	0.1424681356
174	0.9753342076	0.1422664717
175	0.9754703917	0.1419362438
176	0.9755558072	0.1417399072
