iter	Passed	Remaining
0	216	175960
1	411	166906
2	607	164109
3	809	163680
4	1013	163794
5	1233	165861
6	1446	166520
7	1668	167923
8	1909	170578
9	2153	172926
10	2383	173812
11	2627	175369
12	2899	178414
13	3169	180891
14	3446	183345
15	3707	184697
16	3950	184997
17	4185	184865
18	4418	184666
19	4639	183937
20	4878	184007
21	5119	184059
22	5361	184165
23	5597	184011
24	5829	183734
25	6065	183603
26	6305	183565
27	6529	183046
28	6768	182990
29	7009	182943
30	7236	182556
31	7472	182382
32	7719	182451
33	7957	182327
34	8195	182182
35	8434	182037
36	8666	181754
37	8906	181649
38	9155	181693
39	9389	181453
40	9631	181347
41	9867	181139
42	10098	180836
43	10353	180943
44	10621	181278
45	10862	181119
46	11100	180910
47	11335	180664
48	11566	180349
49	11815	180311
50	12058	180164
51	12298	179981
52	12532	179712
53	12755	179289
54	12990	179036
55	13233	178882
56	13473	178696
57	13698	178310
58	13931	178035
59	14163	177750
60	14378	177259
61	14613	177014
62	14849	176784
63	15088	176586
64	15312	176211
65	15549	175986
66	15785	175762
67	16021	175534
68	16258	175313
69	16487	175005
70	16720	174740
71	16961	174557
72	17195	174307
73	17429	174064
74	17667	173847
75	17877	173369
76	18082	172842
77	18287	172327
78	18479	171699
79	18717	171502
80	18966	171405
81	19200	171163
82	19431	170903
83	19657	170595
84	19895	170399
85	20131	170180
86	20361	169909
87	20591	169642
88	20810	169287
89	21048	169089
90	21269	168751
91	21501	168507
92	21713	168102
93	21956	167940
94	22235	168050
95	22509	168119
96	22787	168206
97	23059	168242
98	23318	168175
99	23535	167807
100	23776	167610
101	24014	167395
102	24256	167203
103	24502	167037
104	24743	166839
105	24968	166532
106	25199	166271
107	25422	165953
108	25644	165630
109	25868	165325
110	26095	165037
111	26325	164769
112	26579	164653
113	26829	164508
114	27057	164226
115	27282	163929
116	27508	163639
117	27744	163410
118	27976	163154
119	28202	162872
120	28434	162619
121	28653	162291
122	28882	162023
123	29110	161749
124	29336	161467
125	29557	161158
126	29791	160923
127	30003	160567
128	30230	160290
129	30459	160030
130	30699	159823
131	30931	159577
132	31170	159365
133	31404	159134
134	31626	158837
135	31848	158539
136	32082	158303
137	32299	157989
138	32520	157689
139	32755	157461
140	32969	157131
141	33183	156802
142	33430	156632
143	33679	156469
144	33909	156217
145	34133	155938
146	34365	155694
147	34581	155383
148	34805	155104
149	35039	154874
150	35273	154640
151	35496	154362
152	35716	154072
153	35943	153808
154	36175	153572
155	36445	153491
156	36718	153420
157	36984	153321
158	37241	153183
159	37523	153144
160	37770	152957
161	38038	152859
162	38296	152715
163	38560	152595
164	38802	152386
165	39043	152175
166	39263	151879
167	39503	151666
168	39719	151356
169	39943	151079
170	40154	150755
171	40357	150403
172	40572	150096
173	40785	149781
174	41003	149487
175	41243	149273
176	41459	148972
177	41696	148750
178	41929	148511
179	42162	148272
180	42373	147956
181	42584	147640
182	42798	147339
183	43001	147000
184	43226	146737
185	43435	146420
186	43637	146081
187	43847	145770
188	44053	145447
189	44275	145177
190	44490	144886
191	44722	144650
192	44949	144398
193	45183	144169
194	45415	143933
195	45642	143680
196	45874	143444
197	46110	143222
198	46325	142932
199	46552	142684
200	46764	142388
201	46978	142098
202	47203	141842
203	47427	141584
204	47675	141397
205	47898	141136
206	48127	140895
207	48363	140672
208	48603	140460
209	48816	140173
210	49023	139867
211	49237	139583
212	49474	139365
213	49710	139144
214	49939	138900
215	50184	138703
216	50410	138455
217	50608	138128
218	50817	137833
219	51035	137564
220	51264	137324
221	51496	137092
222	51712	136819
223	51926	136540
224	52137	136253
225	52359	135996
226	52593	135770
227	52804	135485
228	53024	135224
229	53247	134970
230	53448	134661
231	53648	134353
232	53872	134104
233	54105	133876
234	54341	133656
235	54568	133414
236	54789	133160
237	55013	132909
238	55228	132640
239	55463	132419
240	55684	132163
241	55922	131948
242	56147	131702
243	56363	131438
244	56603	131228
245	56824	130972
246	57053	130738
247	57285	130509
248	57513	130270
249	57738	130026
250	57970	129798
251	58189	129539
252	58418	129305
253	58633	129040
254	58839	128753
255	59056	128494
256	59284	128258
257	59524	128047
258	59767	127842
259	60001	127617
260	60230	127385
261	60472	127176
262	60710	126961
263	60938	126724
264	61169	126494
265	61388	126239
266	61614	125999
267	61845	125768
268	62084	125553
269	62313	125319
270	62542	125084
271	62730	124769
272	62925	124468
273	63139	124205
274	63371	123978
275	63601	123745
276	63841	123534
277	64077	123314
278	64307	123082
279	64550	122876
280	64771	122628
281	65011	122414
282	65227	122158
283	65448	121910
284	65666	121655
285	65903	121436
286	66129	121199
287	66359	120967
288	66589	120736
289	66814	120496
290	67047	120271
291	67271	120029
292	67507	119807
293	67733	119569
294	67967	119346
295	68190	119102
296	68410	118855
297	68642	118627
298	68873	118397
299	69095	118153
300	69325	117922
301	69550	117682
302	69769	117433
303	70011	117223
304	70235	116982
305	70452	116729
306	70672	116483
307	70948	116328
308	71214	116155
309	71472	115969
310	71728	115780
311	71989	115597
312	72234	115390
313	72492	115203
314	72759	115029
315	73030	114860
316	73286	114668
317	73548	114486
318	73802	114289
319	74059	114098
320	74317	113906
321	74588	113736
322	74831	113521
323	75074	113306
324	75297	113061
325	75539	112845
326	75769	112610
327	76008	112390
328	76225	112136
329	76454	111902
330	76672	111650
331	76907	111423
332	77144	111199
333	77361	110946
334	77587	110706
335	77809	110461
336	78018	110198
337	78253	109971
338	78494	109753
339	78724	109520
