feature,score
diff_0_after_5,1435
last_5_5_action_diff,1401
last_action_time,1355
userid,1172
last_5_6_action_diff,1171
5_6_action_diff_max,1103
last_action_1_time,1012
diff_1_after_1,1011
diff_0_after_1,1009
min_diff_after_1,1002
last_action_6_time,934
6_6_action_diff_max,898
pair_count_action_diff_mean_5_6,891
last_action_5_time,868
1_to_end_diff,867
5_6_action_diff_mean,861
final_diff_0,855
5_5_action_diff_max,845
max_diff_after_5,780
first_action_6_time,780
final_diff_1,763
mean_diff_after_1,732
min_diff_after_5,724
last_diff_divide_mean_5_5,723
1_1_action_diff_max,711
last_diff_divide_mean_1_1,707
final_diff_3,706
mean_diff_after_5,701
std_diff_after_1,698
5_5_action_count_mean,689
final_diff_6,687
actionType_all_6,684
last_diff_divide_mean_5_6,682
diff_1_after_5,680
final_diff_4,674
last_10_action_diff_mean,671
last_count_divide_mean_5_5,660
last_10_action_diff_std,658
final_diff_5,646
actionType_all_5,643
5_6_action_diff_min,641
last_3_action_diff_mean,637
5_to_end_diff,634
final_diff_7,629
6_6_action_count_std,628
1_1_action_diff_mean,627
first_action_5_time,626
final_diff_2,622
first_action_1_time,620
first_action_time,607
last_1_1_action_diff,606
max_diff_after_1,591
last_6_6_action_diff,577
1_1_action_count_std,570
final_diff_9,559
final_diff_8,558
5_6_action_diff_std,547
std_divide_3_10,542
min_diff_after_6,534
last_diff_divide_mean_6_6,528
6_to_end_diff,527
5_5_action_diff_mean,509
last_3_action_diff_std,507
5_5_action_count_std,507
1_1_action_diff_min,503
5_5_action_diff_std,496
6_6_action_count_mean,480
6_6_action_diff_mean,471
5_5_action_diff_min,466
actionType_all_1,464
mean_divide_3_10,464
std_diff_after_5,450
pair_count_action_diff_std_5_6,435
1_1_action_count_mean,435
last_6_7_action_diff,433
comment_rating,429
6_6_action_diff_min,426
last_count_divide_mean_1_1,421
1_1_action_diff_std,418
last_order_time,402
mean_diff_after_6,396
6_6_action_diff_std,393
first_last_action_1_diff,389
max_diff_after_6,375
first_order_time,370
7_to_end_diff,359
last_count_divide_mean_6_6,353
first_last_action_6_diff,341
max_diff_after_4,338
n_jp_order,334
6_7_action_diff_min,325
diff_last_first_action,324
n_action_after_1,318
first_last_action_5_diff,317
last_5_5_action_count,284
6_6_action_count_max,280
n_action_all,277
last_action_7_time,277
8_to_end_diff,269
diff_0_after_6,257
日本,254
std_diff_after_6,245
first_action_7_time,244
mean_diff_after_4,241
6_7_action_diff_mean,235
last_6_6_action_count,220
2_to_end_diff,213
jp_rate,205
actionType_all_4,199
diff_0_after_7,197
6_7_action_diff_max,190
1_1_action_count_max,189
last_2_6_action_diff,183
n_action_after_6,181
first_last_action_8_diff,179
mean_diff_after_2,176
std_diff_after_2,169
5_7_action_diff_min,169
action_5_6_count,162
4_to_end_diff,161
min_diff_after_4,161
last_1_1_action_count,160
last_action_8_time,154
n_action_after_5,152
min_diff_after_2,149
last_5_7_action_diff,148
n_action_after_4,148
province_上海,144
min_diff_after_7,141
6_6_action_count_min,141
5_7_action_diff_mean,136
5_7_action_diff_max,135
2_6_action_count_mean,135
n_action_after_2,135
max_diff_after_2,132
大洋洲,131
province_北京,129
last_diff_divide_mean_2_5,127
2_6_action_diff_max,125
新加坡,124
max_diff_after_8,124
n_action_after_7,123
last_diff_divide_mean_6_7,119
diff_0_after_8,118
2_5_action_diff_std,112
last_5_7_action_count,111
std_diff_after_4,110
2_6_action_diff_std,110
actionType_all_7,109
7_7_action_diff_max,109
last_action_2_time,109
diff_1_after_4,109
first_last_action_4_diff,109
中国香港,108
last_2_6_action_count,107
diff_1_after_2,107
5_5_action_count_max,104
first_action_8_time,104
first_last_action_2_diff,100
n_action_after_8,98
n_action_after_3,98
diff_0_after_2,96
mean_diff_after_8,95
mean_diff_after_7,94
std_diff_after_8,92
2_6_action_diff_min,92
2_6_action_diff_mean,90
gender_女,89
欧洲,89
diff_1_after_8,89
first_last_action_3_diff,83
diff_1_after_7,83
2_6_action_count_std,81
diff_0_after_3,80
亚洲,80
diff_0_after_4,79
last_action_type_7,79
min_diff_after_8,76
actionType_all_2,76
age_90后,76
3_to_end_diff,76
diff_1_after_6,76
2_5_action_diff_mean,75
5_7_action_count_mean,74
2_5_action_diff_min,73
actionType_all_8,72
first_last_action_7_diff,72
actionType_all_9,69
last_action_3_time,66
澳大利亚,65
北美洲,63
mean_diff_after_3,63
diff_1_after_9,63
first_action_2_time,59
min_diff_after_3,58
7_7_action_diff_std,58
马来西亚,58
n_total_order,57
last_2_5_action_diff,56
max_diff_after_7,53
diff_0_after_9,53
last_action_4_time,52
2_5_action_diff_max,52
美国,52
5_5_action_count_min,52
1_1_action_count_min,51
diff_1_after_3,51
last_count_divide_mean_7_7,50
5_7_action_count_min,48
last_diff_divide_mean_2_6,48
std_diff_after_3,46
last_order_type,45
last_action_9_time,43
last_7_7_action_count,43
9_to_end_diff,41
last_7_7_action_diff,41
first_action_3_time,40
max_diff_after_3,39
泰国,38
2_6_action_count_min,37
first_action_9_time,36
5_7_action_count_max,35
first_action_4_time,35
mean_diff_after_9,33
std_diff_after_7,33
6_7_action_diff_std,32
2_5_action_count_std,32
last_count_divide_mean_2_5,32
7_7_action_diff_mean,31
province_四川,30
last_diff_divide_mean_5_7,30
5_7_action_diff_std,30
2_6_action_count_max,29
std_diff_after_9,29
gender_男,29
actionType_all_3,28
last_action_type_2,27
age_70后,25
max_diff_after_9,24
7_7_action_count_std,24
7_7_action_diff_min,24
7_7_action_count_max,23
province_湖北,23
n_action_after_9,22
last_action_type_6,22
province_浙江,21
2_5_action_count_mean,21
first_last_action_9_diff,21
last_action_type_1,20
中国台湾,19
英国,18
min_diff_after_9,17
last_diff_divide_mean_7_7,17
last_count_divide_mean_2_6,17
last_action_type_5,16
first_order_type,15
越南,13
7_7_action_count_min,13
7_7_action_count_mean,13
province_广东,11
province_辽宁,11
province_江苏,10
2_5_action_count_max,9
last_6_7_action_count,9
印度尼西亚,8
韩国,8
5_7_action_count_std,8
province_湖南,7
last_action_type_3,7
6_7_action_count_max,7
西班牙,6
加拿大,5
法国,5
last_count_divide_mean_5_7,5
6_7_action_count_mean,5
age_60后,4
瑞士,4
last_2_5_action_count,3
6_7_action_count_min,3
last_count_divide_mean_6_7,2
新西兰,2
2_5_action_count_min,2
俄罗斯,1
5_6_action_count_std,1
意大利,1
province_山东,1
age_80后,1
柬埔寨,1
挪威,1
非洲,1
